modelo,titulo,año,ubicacion,km_num,precio_usd
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2018,Capital Federal - Capital Federal,89000.0,13200.0
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2018,Capital Federal - Capital Federal,133000.0,12066.666666666666
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2016,Avellaneda - Bs.As. G.B.A. Sur,101000.0,7666.666666666667
Toyota Etios,Toyota Etios 1.5 Xls,2021,San Miguel - Bs.As. G.B.A. Norte,80000.0,17000.0
Toyota Etios,Toyota Etios 1.5 5 Ptas Xls 4at,2017,Vicente López - Bs.As. G.B.A. Norte,47000.0,12000.0
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2021,Quilmes - Bs.As. G.B.A. Sur,30000.0,15666.0
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2019,Capital Federal - Capital Federal,55600.0,14000.0
Toyota Etios,Toyota Etios 1.5 Xs,2016,Vicente López - Bs.As. G.B.A. Norte,150000.0,9666.666666666666
Toyota Etios,Toyota Etios 1.5 Platinum At,2017,Tres De Febrero - Bs.As. G.B.A. Oeste,148000.0,12500.0
Toyota Etios,Toyota Etios 1.5 Platinum At,2018,Capital Federal - Capital Federal,153200.0,11999.0
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2020,Tres De Febrero - Bs.As. G.B.A. Oeste,80000.0,15000.0
Toyota Etios,Toyota Etios 1.5 Xls,2021,Capital Federal - Capital Federal,34000.0,14266.666666666666
Toyota Etios,Toyota Etios 1.5 Xls,2021,Capital Federal - Capital Federal,39000.0,14219.333333333334
Toyota Etios,Toyota Etios 1.5 Xls Pack,2022,Capital Federal - Capital Federal,67000.0,17500.0
Toyota Etios,Toyota Etios 1.5 Xls At,2023,La Matanza - Bs.As. G.B.A. Oeste,8520.0,18200.0
Toyota Etios,Toyota Etios 1.5 Sedan Xls At,2021,Capital Federal - Capital Federal,43000.0,15500.0
Toyota Etios,Toyota Etios 1.5 Xls At,2021,San Isidro - Bs.As. G.B.A. Norte,67085.0,17000.0
Toyota Etios,Toyota Etios 1.5 Xls At,2021,Capital Federal - Capital Federal,62000.0,17990.0
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2016,La Matanza - Bs.As. G.B.A. Oeste,97000.0,11000.0
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2021,Lobos - Buenos Aires Interior,88196.0,15200.0
Toyota Etios,Toyota Etios 1.5 Xs,2017,Vicente López - Bs.As. G.B.A. Norte,110000.0,10333.333333333334
Toyota Etios,Toyota Etios 1.5 Xs,2017,La Plata - Bs.As. G.B.A. Sur,130000.0,9933.333333333334
Toyota Etios,Toyota Etios 1.5 Xls At,2017,Vicente López - Bs.As. G.B.A. Norte,63000.0,14333.333333333334
Toyota Etios,Toyota Etios 1.5 Xls,2017,Capital Federal - Capital Federal,101300.0,11666.666666666666
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2023,San Isidro - Bs.As. G.B.A. Norte,32000.0,19500.0
Toyota Etios,Toyota Etios 1.5 Sedan X,2018,La Plata - Bs.As. G.B.A. Sur,106110.0,11000.0
Toyota Etios,Toyota Etios 1.5 Xls My19,2019,Zárate - Buenos Aires Interior,32500.0,15900.0
Toyota Etios,Toyota Etios 1.5 Platinum At,2018,Ituzaingó - Bs.As. G.B.A. Oeste,153000.0,12600.0
Toyota Etios,Toyota Etios 1.5 Xls,2020,Avellaneda - Bs.As. G.B.A. Sur,55500.0,16800.0
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2023,Capital Federal - Capital Federal,37000.0,13200.0
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2018,Florencio Varela - Bs.As. G.B.A. Sur,49450.0,19000.0
Toyota Etios,Toyota Etios 1.5 Xls,2021,Capital Federal - Capital Federal,34000.0,14246.666666666666
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2023,Avellaneda - Bs.As. G.B.A. Sur,70000.0,13933.333333333334
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2023,Morón - Bs.As. G.B.A. Oeste,12501.0,21800.0
Toyota Etios,Toyota Etios 1.5 Xls,2021,Lanús - Bs.As. G.B.A. Sur,78000.0,14333.333333333334
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2018,Capital Federal - Capital Federal,106000.0,12900.0
Toyota Etios,Toyota Etios 1.5 Xs My19,2020,Campana - Buenos Aires Interior,100000.0,14200.0
Toyota Etios,Toyota Etios 1.5 Xls Auto,2021,Capital Federal - Capital Federal,76552.0,13893.333333333334
Toyota Etios,Toyota Etios 1.5 Xls Pack,2022,Capital Federal - Capital Federal,81000.0,13746.666666666666
Toyota Etios,Toyota Etios 1.5 Xls At,2021,Capital Federal - Capital Federal,33000.0,18300.0
Toyota Etios,Toyota Etios 1.5 Xls At,2022,Monte - Buenos Aires Interior,74000.0,18000.0
Toyota Etios,Toyota Etios 1.5 Xls,2021,Capital Federal - Capital Federal,47167.0,14533.333333333334
Toyota Etios,Toyota Etios 1.5 Sedan Xls At,2018,Capital Federal - Capital Federal,120000.0,12333.333333333334
Toyota Etios,Toyota Etios 1.5 Sedan Xls At,2023,Capital Federal - Capital Federal,28000.0,17866.666666666668
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2020,Capital Federal - Capital Federal,17500.0,13666.666666666666
Toyota Etios,Toyota Etios 1.5 Xls,2020,Castelar - Bs.As. G.B.A. Oeste,48500.0,16400.0
Toyota Etios,Toyota Etios 1.5 Xls At,2022,San Isidro - Bs.As. G.B.A. Norte,76000.0,18500.0
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2022,Capital Federal - Capital Federal,63000.0,17300.0
Toyota Etios,Toyota Etios 1.5 Xls At,2021,Ezeiza - Bs.As. G.B.A. Sur,64000.0,18000.0
Toyota Etios,Toyota Etios 1.5 Xls At,2022,Pilar - Bs.As. G.B.A. Norte,56000.0,18000.0
Toyota Etios,Toyota Etios 1.5 Xls At,2023,Tres De Febrero - Bs.As. G.B.A. Oeste,8526.0,18200.0
Toyota Etios,Toyota Etios 1.5 Xls 2016,2016,Tigre - Bs.As. G.B.A. Norte,145000.0,9913.333333333334
Toyota Etios,Toyota Etios 1.5 Xls Pack,2022,Capital Federal - Capital Federal,54306.0,14240.0
Toyota Etios,Toyota Etios 1.5 Sedan Xls At,2017,Avellaneda - Bs.As. G.B.A. Sur,85000.0,12333.333333333334
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2019,Ituzaingó - Bs.As. G.B.A. Oeste,51000.0,14400.0
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2016,Avellaneda - Bs.As. G.B.A. Sur,101000.0,7666.0
Toyota Etios,Toyota Etios 1.5 Xls At,2018,Capital Federal - Capital Federal,81000.0,13000.0
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2021,Escobar - Bs.As. G.B.A. Norte,70000.0,13500.0
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2023,Vicente López - Bs.As. G.B.A. Norte,65000.0,14000.0
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2022,Tigre - Bs.As. G.B.A. Norte,115000.0,12333.333333333334
Toyota Etios,Toyota Etios 1.5 X,2021,Capital Federal - Capital Federal,45600.0,14826.666666666666
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2017,Tigre - Bs.As. G.B.A. Norte,200000.0,9666.666666666666
Toyota Etios,Toyota Etios 1.5 Xls,2022,Luján - Buenos Aires Interior,46000.0,15666.666666666666
Toyota Etios,Toyota Etios Xls,2016,Capital Federal - Capital Federal,100271.0,12000.0
Toyota Etios,Toyota Etios 1.5 Sedan Platinum At,2018,Capital Federal - Capital Federal,80800.0,14100.0
Toyota Etios,Toyota Etios 1.5 Xls My19,2019,La Plata - Bs.As. G.B.A. Sur,100000.0,14333.333333333334
Toyota Etios,Toyota Etios 1.5 Xls,2020,Capital Federal - Capital Federal,46315.0,16033.333333333334
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2023,Escobar - Bs.As. G.B.A. Norte,84000.0,14666.666666666666
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2022,Capital Federal - Capital Federal,90000.0,14333.333333333334
Toyota Etios,Toyota Etios 1.5 Sedan X,2021,Del Viso - Bs.As. G.B.A. Norte,150000.0,14000.0
Toyota Etios,Toyota Etios 1.5 Xls At,2017,San Isidro - Bs.As. G.B.A. Norte,87500.0,14700.0
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2023,Vicente López - Bs.As. G.B.A. Norte,8900.0,15933.333333333334
Toyota Etios,Toyota Etios 1.5 Xls My19,2019,Vicente López - Bs.As. G.B.A. Norte,56532.0,15700.0
