modelo,titulo,año,ubicacion,km_num,precio_usd
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2018,Capital Federal - Capital Federal,89000.0,13200.0
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2018,Capital Federal - Capital Federal,133000.0,12746.478873239437
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2016,Avellaneda - Bs.As. G.B.A. Sur,101000.0,8098.591549295775
Toyota Etios,Toyota Etios 1.5 Xls,2021,San Miguel - Bs.As. G.B.A. Norte,80000.0,17000.0
Toyota Etios,Toyota Etios 1.5 5 Ptas Xls 4at,2017,Vicente López - Bs.As. G.B.A. Norte,47000.0,12676.05633802817
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2021,Quilmes - Bs.As. G.B.A. Sur,30000.0,16548.591549295776
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2019,Capital Federal - Capital Federal,55600.0,14788.732394366198
Toyota Etios,Toyota Etios 1.5 Xs,2016,Vicente López - Bs.As. G.B.A. Norte,150000.0,10211.267605633802
Toyota Etios,Toyota Etios 1.5 Platinum At,2017,Tres De Febrero - Bs.As. G.B.A. Oeste,148000.0,12500.0
Toyota Etios,Toyota Etios 1.5 Platinum At,2018,Capital Federal - Capital Federal,153200.0,11999.0
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2020,Tres De Febrero - Bs.As. G.B.A. Oeste,80000.0,15000.0
Toyota Etios,Toyota Etios 1.5 Xls,2021,Capital Federal - Capital Federal,34000.0,15070.422535211268
Toyota Etios,Toyota Etios 1.5 Xls,2021,Capital Federal - Capital Federal,39000.0,15020.422535211268
Toyota Etios,Toyota Etios 1.5 Xls Pack,2022,Capital Federal - Capital Federal,67000.0,17500.0
Toyota Etios,Toyota Etios 1.5 Xls At,2023,La Matanza - Bs.As. G.B.A. Oeste,8520.0,19225.352112676057
Toyota Etios,Toyota Etios 1.5 Sedan Xls At,2021,Capital Federal - Capital Federal,43000.0,15500.0
Toyota Etios,Toyota Etios 1.5 Xls At,2021,San Isidro - Bs.As. G.B.A. Norte,67085.0,17000.0
Toyota Etios,Toyota Etios 1.5 Xls At,2021,Capital Federal - Capital Federal,62000.0,17990.0
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2016,La Matanza - Bs.As. G.B.A. Oeste,97000.0,11619.718309859154
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2021,Lobos - Buenos Aires Interior,88196.0,16056.338028169013
Toyota Etios,Toyota Etios 1.5 Xs,2017,Vicente López - Bs.As. G.B.A. Norte,110000.0,10915.492957746479
Toyota Etios,Toyota Etios 1.5 Xs,2017,La Plata - Bs.As. G.B.A. Sur,130000.0,10492.957746478873
Toyota Etios,Toyota Etios 1.5 Xls At,2017,Vicente López - Bs.As. G.B.A. Norte,63000.0,15140.845070422536
Toyota Etios,Toyota Etios 1.5 Xls,2017,Capital Federal - Capital Federal,101300.0,12323.94366197183
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2023,San Isidro - Bs.As. G.B.A. Norte,32000.0,19500.0
Toyota Etios,Toyota Etios 1.5 Sedan X,2018,La Plata - Bs.As. G.B.A. Sur,106110.0,11619.718309859154
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2014,Almirante Brown - Bs.As. G.B.A. Sur,160000.0,9859.154929577464
Toyota Etios,Toyota Etios 1.5 Xls My19,2019,Zárate - Buenos Aires Interior,32500.0,15900.0
Toyota Etios,Toyota Etios 1.5 Platinum At,2018,Ituzaingó - Bs.As. G.B.A. Oeste,153000.0,13309.859154929578
Toyota Etios,Toyota Etios 1.5 Xls,2020,Avellaneda - Bs.As. G.B.A. Sur,55500.0,16800.0
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2023,Capital Federal - Capital Federal,37000.0,13943.661971830987
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2018,Florencio Varela - Bs.As. G.B.A. Sur,49450.0,19000.0
Toyota Etios,Toyota Etios 1.5 Xls,2015,Pilar - Bs.As. G.B.A. Norte,183000.0,9750.0
Toyota Etios,Toyota Etios 1.5 Xls,2021,Capital Federal - Capital Federal,34000.0,15049.295774647888
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2023,Avellaneda - Bs.As. G.B.A. Sur,70000.0,14718.30985915493
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2023,Morón - Bs.As. G.B.A. Oeste,12501.0,21800.0
Toyota Etios,Toyota Etios 1.5 Xls,2021,Lanús - Bs.As. G.B.A. Sur,78000.0,15140.845070422536
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2018,Capital Federal - Capital Federal,106000.0,12900.0
Toyota Etios,Toyota Etios 1.5 Xs My19,2020,Campana - Buenos Aires Interior,100000.0,14200.0
Toyota Etios,Toyota Etios 1.5 Xls Auto,2021,Capital Federal - Capital Federal,76552.0,14676.05633802817
Toyota Etios,Toyota Etios 1.5 Xls Pack,2022,Capital Federal - Capital Federal,81000.0,14521.12676056338
Toyota Etios,Toyota Etios 1.5 Xls At,2021,Capital Federal - Capital Federal,33000.0,18300.0
Toyota Etios,Toyota Etios 1.5 Xls At,2022,Monte - Buenos Aires Interior,74000.0,18000.0
Toyota Etios,Toyota Etios 1.5 Xls,2021,Capital Federal - Capital Federal,47167.0,15352.112676056338
Toyota Etios,Toyota Etios 1.5 Sedan Xls At,2018,Capital Federal - Capital Federal,120000.0,13028.169014084508
Toyota Etios,Toyota Etios 1.5 Sedan Xls At,2023,Capital Federal - Capital Federal,28000.0,18873.23943661972
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2020,Capital Federal - Capital Federal,17500.0,14436.61971830986
Toyota Etios,Toyota Etios 1.5 Xls,2020,Castelar - Bs.As. G.B.A. Oeste,48500.0,16400.0
Toyota Etios,Toyota Etios 1.5 Xls At,2022,San Isidro - Bs.As. G.B.A. Norte,76000.0,18500.0
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2022,Capital Federal - Capital Federal,63000.0,17300.0
Toyota Etios,Toyota Etios 1.5 Xls At,2021,Ezeiza - Bs.As. G.B.A. Sur,64000.0,18000.0
Toyota Etios,Toyota Etios 1.5 Xls At,2022,Pilar - Bs.As. G.B.A. Norte,56000.0,18000.0
Toyota Etios,Toyota Etios 1.5 Xls At,2023,Tres De Febrero - Bs.As. G.B.A. Oeste,8526.0,19225.352112676057
Toyota Etios,Toyota Etios 1.5 Xls 2016,2016,Tigre - Bs.As. G.B.A. Norte,145000.0,10471.830985915492
Toyota Etios,Toyota Etios 1.5 Xls Pack,2022,Capital Federal - Capital Federal,54306.0,15042.25352112676
Toyota Etios,Toyota Etios 1.5 Sedan Xls At,2017,Avellaneda - Bs.As. G.B.A. Sur,85000.0,13028.169014084508
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2019,Ituzaingó - Bs.As. G.B.A. Oeste,51000.0,15211.267605633802
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2016,Avellaneda - Bs.As. G.B.A. Sur,101000.0,8097.887323943662
Toyota Etios,Toyota Etios 1.5 Xls At,2018,Capital Federal - Capital Federal,81000.0,13732.394366197183
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2021,Escobar - Bs.As. G.B.A. Norte,70000.0,13500.0
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2023,Vicente López - Bs.As. G.B.A. Norte,65000.0,14788.732394366198
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2013,Tigre - Bs.As. G.B.A. Norte,90000.0,12500.0
Toyota Etios,Toyota Etios 1.5 Xs,2013,Capital Federal - Capital Federal,115000.0,9507.042253521127
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2022,Tigre - Bs.As. G.B.A. Norte,115000.0,13028.169014084508
Toyota Etios,Toyota Etios 1.5 X,2021,Capital Federal - Capital Federal,45600.0,15661.971830985916
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2017,Tigre - Bs.As. G.B.A. Norte,200000.0,10211.267605633802
Toyota Etios,Toyota Etios 1.5 Xls,2022,Luján - Buenos Aires Interior,46000.0,16549.295774647886
Toyota Etios,Toyota Etios Xls,2016,Capital Federal - Capital Federal,100271.0,12676.05633802817
Toyota Etios,Toyota Etios 1.5 Xs,2015,Tigre - Bs.As. G.B.A. Norte,69446.0,10246.478873239437
Toyota Etios,Toyota Etios 1.5 Sedan Platinum At,2018,Capital Federal - Capital Federal,80800.0,14100.0
Toyota Etios,Toyota Etios 1.5 Xls My19,2019,La Plata - Bs.As. G.B.A. Sur,100000.0,15140.845070422536
Toyota Etios,Toyota Etios 1.5 Xls,2020,Capital Federal - Capital Federal,46315.0,16936.61971830986
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2023,Escobar - Bs.As. G.B.A. Norte,84000.0,15492.957746478873
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2022,Capital Federal - Capital Federal,90000.0,15140.845070422536
Toyota Etios,Toyota Etios 1.5 Xls,2015,Tigre - Bs.As. G.B.A. Norte,96000.0,12323.94366197183
Toyota Etios,Toyota Etios 1.5 Sedan X,2021,Del Viso - Bs.As. G.B.A. Norte,150000.0,14000.0
Toyota Etios,Toyota Etios 1.5 Xls At,2017,San Isidro - Bs.As. G.B.A. Norte,87500.0,14700.0
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2023,Vicente López - Bs.As. G.B.A. Norte,8900.0,16830.985915492958
Toyota Etios,Toyota Etios 1.5 Xls My19,2019,Vicente López - Bs.As. G.B.A. Norte,56532.0,15700.0
Toyota Etios,Toyota Etios 1.5 Sedan Xls At,2022,Tigre - Bs.As. G.B.A. Norte,22000.0,18661.971830985916
Toyota Etios,Toyota Etios 1.5 Xls At,2018,Capital Federal - Capital Federal,165000.0,13028.169014084508
Toyota Etios,Toyota Etios 1.5 Sedan Xls At,2023,Capital Federal - Capital Federal,18900.0,21000.0
Toyota Etios,Toyota Etios 1.5 Xls At,2022,Capital Federal - Capital Federal,14000.0,20300.0
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2019,San Isidro - Bs.As. G.B.A. Norte,88000.0,13500.0
Toyota Etios,Toyota Etios 1.5 Xls,2017,Capital Federal - Capital Federal,92000.0,14150.0
Toyota Etios,Toyota Etios 1.5 Sedan Xls At,2019,Ituzaingó - Bs.As. G.B.A. Oeste,76000.0,15774.647887323943
Toyota Etios,Toyota Etios 1.5 Xls 6m/t,2017,Capital Federal - Capital Federal,109000.0,13499.0
Toyota Etios,Toyota Etios 1.5 Sedan X,2022,Moreno - Bs.As. G.B.A. Oeste,95000.0,12605.633802816901
Toyota Etios,Toyota Etios 1.5 X 6mt My19,2018,Capital Federal - Capital Federal,72000.0,14500.0
Toyota Etios,Toyota Etios 1.5 Xls At,2019,La Plata - Bs.As. G.B.A. Sur,60000.0,16500.0
Toyota Etios,Toyota Etios 1.5 Sedan Xs,2017,La Plata - Bs.As. G.B.A. Sur,159000.0,10915.492957746479
Toyota Etios,Toyota Etios 1.5 Sedan X,2019,Capital Federal - Capital Federal,79000.0,12668.94366197183
Toyota Etios,Toyota Etios 1.5 Xls,2014,Cañuelas - Buenos Aires Interior,144000.0,10915.492253521126
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2019,Campana - Buenos Aires Interior,175000.0,13309.859154929578
Toyota Etios,Toyota Etios 1.5 Xls At,2021,Hurlingham - Bs.As. G.B.A. Oeste,67000.0,17300.0
Toyota Etios,Toyota Etios 1.5 Xls,2017,Tigre - Bs.As. G.B.A. Norte,70000.0,14788.732394366198
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2018,Capital Federal - Capital Federal,147000.0,12900.0
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2023,Moreno - Bs.As. G.B.A. Oeste,0.0,22500.0
Toyota Etios,Toyota Etios 1.5 Xls Mt,2018,San Isidro - Bs.As. G.B.A. Norte,60000.0,13732.394366197183
Toyota Etios,Toyota Etios 1.5 Sedan Xls,2015,Escobar - Bs.As. G.B.A. Norte,151000.0,11500.0
